Techstack,Links
"React, Node.js, MongoDB",https://myportfolio.com/react-portfolio
"Angular,.NET, SQL Server",https://myportfolio.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://myportfolio.com/vue-portfolio
"Python, Django, MySQL",https://myportfolio.com/python-portfolio
"Java, Spring Boot, Oracle",https://myportfolio.com/java-portfolio
"Flutter, Firebase, GraphQL",https://myportfolio.com/flutter-portfolio
"WordPress, PHP, MySQL",https://myportfolio.com/wordpress-portfolio
"Magento, PHP, MySQL",https://myportfolio.com/magento-portfolio
"React Native, Node.js, MongoDB",https://myportfolio.com/react-native-portfolio
"iOS, Swift, Core Data",https://myportfolio.com/ios-portfolio
"Android, Java, Room Persistence",https://myportfolio.com/android-portfolio
"Kotlin, Android, Firebase",https://myportfolio.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://myportfolio.com/android-tv-portfolio
"iOS, Swift, ARKit",https://myportfolio.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://myportfolio.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://myportfolio.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://myportfolio.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://myportfolio.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://myportfolio.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://myportfolio.com/devops-portfolio
